ID,From,,To,,Google,FFS
,Lat,Long,Lat,Long,Dist(km),
O10-O11,29.978861,31.354405,29.983772,31.366445,1.419,76
O11-O12,29.983772,31.366445,29.988869,31.372056,0.806,93
O12-O13,29.988869,31.372056,29.990489,31.376411,0.456,93
O13-O15,29.990489,31.376411,29.996205,31.390864,1.532,92
O15-O17,29.996205,31.390864,30.007995,31.399781,1.609,94
O17-O18,30.007995,31.399781,30.012410,31.400400,0.495,104
O18-O19,30.012410,31.400400,30.019865,31.401432,0.835,104
O19-O20,30.019865,31.401432,30.027145,31.402451,0.816,105
O20-O21,30.027145,31.402451,30.037217,31.403910,1.129,110
O21-O22,30.037217,31.403910,30.041925,31.404493,0.527,100
O22-O23,30.041925,31.404493,30.044174,31.404957,0.254,100
O23-O24,30.044174,31.404957,30.048893,31.407141,0.566,102
O24-O25,30.048893,31.407141,30.055863,31.412899,0.953,101
O25-O26,30.055863,31.412899,30.062253,31.418299,0.88,99
O26-O27,30.062253,31.418299,30.065669,31.422065,0.527,105
O27-O28,30.065669,31.422065,30.071930,31.429948,1.032,98
O28-O29,30.071930,31.429948,30.074969,31.432860,0.439,88
O29-O30,30.074969,31.432860,30.078991,31.435341,0.507,87
O30-O31,30.078991,31.435341,30.080639,31.435890,0.191,87
O31-O32,30.080639,31.435890,30.084935,31.437076,0.491,95
O32-O33,30.084935,31.437076,30.088790,31.438915,0.466,95
O33-O34,30.088790,31.438915,30.110303,31.454828,2.84,106
O34-O35,30.110303,31.454828,30.120034,31.462111,1.29,105
O35-O36,30.120034,31.462111,30.122378,31.463731,0.304,99
O36-O37,30.122378,31.463731,30.129122,31.464678,0.782,99
O37-O38,30.129122,31.464678,30.134222,31.457648,0.927,93
O38-O39,30.134222,31.457648,30.134485,31.451906,0.553,99
O39-O40,30.134485,31.451906,30.134501,31.449835,0.199,98
O40-O41,30.134501,31.449835,30.134431,31.445375,0.429,98
O41-O42,30.134431,31.445375,30.139206,31.437797,0.975,90
O42-O43,30.139206,31.437797,30.146353,31.434931,0.841,104
O43-O44,30.146353,31.434931,30.148930,31.426389,0.994,82
O44-O45,30.148930,31.426389,30.148284,31.425058,0.147,76
O45-O46,30.148284,31.425058,30.148942,31.418452,0.68,76
O46-O47,30.148942,31.418452,30.150396,31.416224,0.268,81
O47-O48,30.150396,31.416224,30.152472,31.413018,0.385,81
O48-O49,30.152472,31.413018,30.158170,31.405387,0.971,88
O49-O50,30.158170,31.405387,30.160249,31.401644,0.43,95
O50-O51,30.160249,31.401644,30.162493,31.395583,0.635,95
O51-O52,30.162493,31.395583,30.165392,31.386012,0.976,97
O52-O53,30.165392,31.386012,30.166296,31.362275,2.299,89
O53-O54,30.166296,31.362275,30.163713,31.342610,1.913,91
O54-O55,30.163713,31.342610,30.163122,31.334381,0.794,68
O55-O56,30.163122,31.334381,30.163274,31.324874,0.914,84
O56-O57,30.163274,31.324874,30.163500,31.320896,0.383,88
O57-O58,30.163500,31.320896,30.163520,31.315690,0.501,88
O58-O59,30.163520,31.315690,30.163054,31.309467,0.601,90
O59-O60,30.163054,31.309467,30.162887,31.307265,0.213,82
O60-O61,30.162887,31.307265,30.163003,31.304999,0.222,82
O61-O62,30.163003,31.304999,30.163936,31.302445,0.267,71
O62-O63,30.163936,31.302445,30.164798,31.300057,0.249,71
O63-O64,30.164798,31.300057,30.163392,31.289607,1.093,78
O64-O65,30.163392,31.289607,30.161402,31.287559,0.296,91
O65-O66,30.161402,31.287559,30.159084,31.283879,0.444,91
O66-O67,30.159084,31.283879,30.156068,31.277881,0.667,92
O67-O68,30.156068,31.277881,30.151774,31.269234,0.959,93
O68-O69,30.151774,31.269234,30.149663,31.257718,1.147,93
O69-O70,30.149663,31.257718,30.149867,31.243309,1.386,89
O70-O72,30.149867,31.243309,30.149163,31.228888,1.391,68
O72-O74,30.149163,31.228888,30.149092,31.225983,0.279,71
O74-O75,30.149092,31.225983,30.148960,31.220942,0.485,71
O75-O76,30.148960,31.220942,30.146898,31.214471,0.676,82
O76-O77,30.146898,31.214471,30.136545,31.204407,1.535,85
O77-O78,30.136545,31.204407,30.125228,31.201424,1.291,93
O78-O80,30.125228,31.201424,30.121495,31.201426,0.417,99
O80-O81,30.121495,31.201426,30.119301,31.201845,0.247,99
O81-O82,30.119301,31.201845,30.112604,31.203266,0.757,94
O82-O83,30.112604,31.203266,30.108723,31.203293,0.434,88
O83-O84,30.108723,31.203293,30.105606,31.202674,0.352,88
O84-O85,30.105606,31.202674,30.100842,31.201675,0.54,87
O85-O86,30.100842,31.201675,30.098725,31.200634,0.256,87
O86-O87,30.098725,31.200634,30.094263,31.198373,0.542,93
O87-O88,30.094263,31.198373,30.088494,31.195443,0.701,87
O88-O89,30.088494,31.195443,30.085059,31.192927,0.455,83
O89-O90,30.085059,31.192927,30.084180,31.191820,0.145,83
O90-O91,30.084180,31.191820,30.081745,31.188432,0.424,80
O91-O92,30.081745,31.188432,30.080831,31.186669,0.198,82
O92-O93,30.080831,31.186669,30.078295,31.180879,0.624,82
O93-O94,30.078295,31.180879,30.073059,31.175989,0.769,84
O94-O95,30.073059,31.175989,30.067026,31.174370,0.689,80
